id_cliente,nombre,email,ciudad,zona,segmento,fecha_registro
C00001,Araceli Abril Ulibarri,javier05@example.net,San Esther los bajos,Oeste,Premium,2022-06-24
C00002,  Ricardo Rafaél Montañez Barraza  ,pgodinez@example.net,San Raquel los altos,Oeste,Regular,2024-07-06
C00003,Mayte Vera,salinasdario@example.org,Vieja Mónaco,Norte,Regular,2025-02-01
C00004,Dolores Virginia Palacios Montez,carbajalcarlos@example.com,Vieja Tonga,Centro,Regular,2023-09-29
C00005,Carlota Rael,archuletahumberto@example.net,San Francisco los bajos,Norte,Regular,2023-08-24
C00006,Modesto Miguel Ángel Pelayo,lorenzo64@example.com,Nueva Senegal,Este,Ocasional,2023-05-08
C00007,Ignacio José Luis Ocampo Vega,oduenas@example.com,Nueva El Salvador,Oeste,Regular,2024-08-14
C00008,  Dra. Rosa Caldera  ,rosagallardo@example.net,San Ricardo los altos,Oeste,Ocasional,2022-11-07
C00009,Angélica Verdugo Ureña,dsantillan@example.net,Nueva Djibouti,Norte,premiun,2024-01-27
C00010,  Sessa Gastélum  ,,Vieja Brunei Darussalam,Oeste,Regular,2024-04-09
C00011,Sra. Frida Roybal,,Nueva Barbados,Este,Regular,2022-06-09
C00012,Rafaél Darío Saiz Rosado,benjaminozuna@example.net,San Estela de la Montaña,Sur,Regular,2021-12-08
C00013,  Irma Cecilia Rosales Guzmán  ,alfonso41@example.net,Nueva Djibouti,Centro,Premium,2021-08-10
C00014,María Luisa Niño,lluevano@example.com,San Fernando los bajos,Norte,Ocasional,2022-07-08
C00015,Ing. Ana María Jaime,ucarbajal@example.org,San Bernabé de la Montaña,Norte,Regular,2024-09-23
C00016,Benjamín Jaime Munguía Corrales,warriaga@example.com,San Wilfrido de la Montaña,Norte,Ocasional,2022-08-25
C00017,Sra. Alta  Gracia Carmona,rochaalejandra@example.org,Nueva Libia,Este,Premium,2022-11-04
C00018,Rubén Méndez,olivia27@example.net,Nueva Guinea Bissau,Oeste,Ocasional,2024-12-01
C00019,Caridad Miriam Saiz,znieto@example.org,Vieja Serbia,Sur,Regular,2024-11-26
C00020,  Luis Miguel Mota  ,lovatoangelica@example.net,San Gloria los altos,Centro,Regular,2022-11-04
C00021,Lic. Cristian Yáñez,,Nueva Polonia,Este,Premium,2025-05-08
C00022,Cristal Ana Burgos Colunga,esther59@example.com,Vieja Cuba,Este,Ocasional,2024-04-20
C00023,Ana María Josefina Santacruz Páez,alma06@example.net,San Ángel los bajos,Centro,Premium,2022-08-20
C00024,Guillermina Mondragón,sisnerososcar@example.net,San Ramiro los altos,Sur,Ocasional,2024-05-30
C00025,Jos Manzanares,aracelicollado@example.net,Vieja Egipto,Norte,Ocasional,2025-06-28
C00026,Berta Peralta Marroquín,azarate@example.org,Vieja Grecia,Norte,Ocasional,2025-01-08
C00027,  Aurora Antonia Nájera  ,rociocervantes@example.net,Vieja República de Macedonia del Norte,Norte,Ocasional,2022-09-14
C00028,  Srita. Aurora Núñez  ,,San Germán los bajos,Sur,Ocasional,2021-11-20
